id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1028929,"A_23_P166297",9475,"ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1",9619,"21","n/a","n/a"
1028930,"CUST_15564_PI416261804",9475,"ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1",9619,"21","n/a","n/a"
1048348,"CUST_15570_PI416261804",9475,"ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1",9619,"21","n/a","n/a"
1048598,"A_23_P18713",9293,"ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2",9429,"4","n/a","n/a"
1048599,"CUST_16700_PI416261804",9293,"ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2",9429,"4","n/a","n/a"
1015836,"A_24_P355626",40770,"ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4",64137,"11","n/a","n/a"
1014329,"CUST_16196_PI416261804",40770,"ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4",64137,"11","n/a","n/a"
1014097,"CUST_16202_PI416261804",40770,"ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4",64137,"11","n/a","n/a"
1039920,"A_23_P119763",40871,"ABCG5","ATP-binding cassette, sub-family G (WHITE), member 5",64240,"2","n/a","n/a"
1039921,"CUST_16445_PI416261804",40871,"ABCG5","ATP-binding cassette, sub-family G (WHITE), member 5",64240,"2","n/a","n/a"
1039918,"A_23_P90577",40872,"ABCG8","ATP-binding cassette, sub-family G (WHITE), member 8",64241,"2","n/a","n/a"
1039919,"CUST_16054_PI416261804",40872,"ABCG8","ATP-binding cassette, sub-family G (WHITE), member 8",64241,"2","n/a","n/a"
1059478,"A_23_P60180",22,"ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",25,"9","n/a","n/a"
1059480,"A_24_P281101",22,"ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",25,"9","n/a","n/a"
1030453,"A_24_P282416",22,"ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",25,"9","n/a","n/a"
1059481,"A_24_P291016",22,"ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",25,"9","n/a","n/a"
1059479,"A_24_P393711",22,"ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",25,"9","n/a","n/a"
1020817,"A_23_P138099",24,"ABL2","v-abl Abelson murine leukemia viral oncogene homolog 2",27,"1","n/a","n/a"
1015499,"A_24_P263878",24,"ABL2","v-abl Abelson murine leukemia viral oncogene homolog 2",27,"1","n/a","n/a"
1011338,"A_32_P139894",24,"ABL2","v-abl Abelson murine leukemia viral oncogene homolog 2",27,"1","n/a","n/a"
1030639,"CUST_11436_PI416261804",24,"ABL2","v-abl Abelson murine leukemia viral oncogene homolog 2",27,"1","n/a","n/a"
1035624,"A_23_P38952",79092,"ACER1","alkaline ceramidase 1",125981,"19","n/a","n/a"
1035625,"CUST_14590_PI416261804",79092,"ACER1","alkaline ceramidase 1",125981,"19","n/a","n/a"
1028753,"CUST_1266_PI416573500",109860,"ACER2","alkaline ceramidase 2",340485,"9","n/a","n/a"
1028752,"CUST_1306_PI416379584",109860,"ACER2","alkaline ceramidase 2",340485,"9","n/a","n/a"
1041974,"A_23_P203665",34620,"ACER3","alkaline ceramidase 3",55331,"11","n/a","n/a"
1041973,"A_24_P244420",34620,"ACER3","alkaline ceramidase 3",55331,"11","n/a","n/a"
1041975,"A_24_P355693",34620,"ACER3","alkaline ceramidase 3",55331,"11","n/a","n/a"
1012526,"A_23_P74299",131,"ADORA1","adenosine A1 receptor",134,"1","n/a","n/a"
1013481,"CUST_62_PI416408490",131,"ADORA1","adenosine A1 receptor",134,"1","n/a","n/a"
1059366,"A_23_P109436",132,"ADORA2A","adenosine A2a receptor",135,"22","n/a","n/a"
1059367,"A_24_P237270",132,"ADORA2A","adenosine A2a receptor",135,"22","n/a","n/a"
1059365,"A_23_P55477",133,"ADORA2B","adenosine A2b receptor",136,"17","n/a","n/a"
1018258,"A_23_P126540",137,"ADORA3","adenosine A3 receptor",140,"1","n/a","n/a"
1059363,"A_23_P137931",137,"ADORA3","adenosine A3 receptor",140,"1","n/a","n/a"
1012816,"CUST_14407_PI416261804",137,"ADORA3","adenosine A3 receptor",140,"1","n/a","n/a"
1059364,"CUST_14409_PI416261804",137,"ADORA3","adenosine A3 receptor",140,"1","n/a","n/a"
1047193,"A_23_P117599",10451,"AHSA1","AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)",10598,"14","n/a","n/a"
1047194,"CUST_11617_PI416261804",10451,"AHSA1","AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)",10598,"14","n/a","n/a"
1035322,"A_23_P372467",79450,"AHSA2","AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)",130872,"2","n/a","n/a"
1035323,"CUST_6991_PI416261804",79450,"AHSA2","AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)",130872,"2","n/a","n/a"
1059297,"A_23_P214627",196,"AIF1","allograft inflammatory factor 1",199,"6","n/a","n/a"
1025918,"CUST_13531_PI416261804",196,"AIF1","allograft inflammatory factor 1",199,"6","n/a","n/a"
1059298,"CUST_13577_PI416261804",196,"AIF1","allograft inflammatory factor 1",199,"6","n/a","n/a"
1023302,"A_23_P392384",57786,"AIF1L","allograft inflammatory factor 1-like",83543,"9","n/a","n/a"
1023301,"A_23_P94380",57786,"AIF1L","allograft inflammatory factor 1-like",83543,"9","n/a","n/a"
1059164,"A_23_P68740",323,"AIRE","autoimmune regulator",326,"21","n/a","n/a"
1023213,"A_24_P254355",323,"AIRE","autoimmune regulator",326,"21","n/a","n/a"
1059165,"CUST_15610_PI416261804",323,"AIRE","autoimmune regulator",326,"21","n/a","n/a"
1059166,"A_23_P96827",322,"APCS","amyloid P component, serum",325,"1","n/a","n/a"
1059167,"CUST_14436_PI416261804",322,"APCS","amyloid P component, serum",325,"1","n/a","n/a"
1059110,"A_23_P73511",366,"ARAF","v-raf murine sarcoma 3611 viral oncogene homolog",369,"X","n/a","n/a"
1059111,"CUST_8977_PI416261804",366,"ARAF","v-raf murine sarcoma 3611 viral oncogene homolog",369,"X","n/a","n/a"
1059015,"A_23_P105646",463,"ATF1","activating transcription factor 1",466,"12","n/a","n/a"
1059016,"CUST_9009_PI416261804",463,"ATF1","activating transcription factor 1",466,"12","n/a","n/a"
1046167,"A_23_P62907",22682,"ATF6","activating transcription factor 6",22926,"1","n/a","n/a"
1046168,"CUST_14255_PI416261804",22682,"ATF6","activating transcription factor 6",22926,"1","n/a","n/a"
1058926,"A_23_P136058",542,"ATR","ataxia telangiectasia and Rad3 related",545,"3","n/a","n/a"
1058927,"CUST_15854_PI416261804",542,"ATR","ataxia telangiectasia and Rad3 related",545,"3","n/a","n/a"
1058928,"CUST_2877_PI416261804",542,"ATR","ataxia telangiectasia and Rad3 related",545,"3","n/a","n/a"
1058929,"CUST_99_PI416408490",542,"ATR","ataxia telangiectasia and Rad3 related",545,"3","n/a","n/a"
1058844,"A_23_P128744",620,"BDKRB1","bradykinin receptor B1",623,"14","n/a","n/a"
1058843,"A_24_P919850",620,"BDKRB1","bradykinin receptor B1",623,"14","n/a","n/a"
1058841,"A_23_P304897",621,"BDKRB2","bradykinin receptor B2",624,"14","n/a","n/a"
1058842,"CUST_14967_PI416261804",621,"BDKRB2","bradykinin receptor B2",624,"14","n/a","n/a"
1058825,"A_23_P31725",637,"BLK","B lymphoid tyrosine kinase",640,"8","n/a","n/a"
1058826,"CUST_13992_PI416261804",637,"BLK","B lymphoid tyrosine kinase",640,"8","n/a","n/a"
1058781,"A_23_P253602",656,"BMX","BMX non-receptor tyrosine kinase",660,"X","n/a","n/a"
1058782,"A_24_P263144",656,"BMX","BMX non-receptor tyrosine kinase",660,"X","n/a","n/a"
1016276,"A_23_P131785",667,"BPI","bactericidal/permeability-increasing protein",671,"20","n/a","n/a"
1058763,"A_23_P131789",667,"BPI","bactericidal/permeability-increasing protein",671,"20","n/a","n/a"
1043538,"A_23_P143399",30778,"BPIFA1","BPI fold containing family A, member 1",51297,"20","n/a","n/a"
1043539,"CUST_15170_PI416261804",30778,"BPIFA1","BPI fold containing family A, member 1",51297,"20","n/a","n/a"
1034959,"CUST_1057_PI416573500",80036,"BPIFA2","BPI fold containing family A, member 2",140683,"20","n/a","n/a"
1034958,"CUST_1091_PI416379584",80036,"BPIFA2","BPI fold containing family A, member 2",140683,"20","n/a","n/a"
1021455,"A_23_P132004",79343,"BPIFA3","BPI fold containing family A, member 3",128861,"20","n/a","n/a"
1021457,"CUST_11541_PI416261804",79343,"BPIFA3","BPI fold containing family A, member 3",128861,"20","n/a","n/a"
1021456,"CUST_11542_PI416261804",79343,"BPIFA3","BPI fold containing family A, member 3",128861,"20","n/a","n/a"
1036548,"A_23_P154784",60217,"BPIFB1","BPI fold containing family B, member 1",92747,"20","n/a","n/a"
1036549,"CUST_1019_PI416261804",60217,"BPIFB1","BPI fold containing family B, member 1",92747,"20","n/a","n/a"
1038498,"A_23_P254797",56142,"BPIFB2","BPI fold containing family B, member 2",80341,"20","n/a","n/a"
1038499,"CUST_1785_PI416261804",56142,"BPIFB2","BPI fold containing family B, member 2",80341,"20","n/a","n/a"
1031680,"A_23_P57222",110822,"BPIFB3","BPI fold containing family B, member 3",359710,"20","n/a","n/a"
1031681,"CUST_2238_PI416261804",110822,"BPIFB3","BPI fold containing family B, member 3",359710,"20","n/a","n/a"
1034445,"A_23_P80027",80836,"BPIFB4","BPI fold containing family B, member 4",149954,"20","n/a","n/a"
1034446,"CUST_10694_PI416261804",80836,"BPIFB4","BPI fold containing family B, member 4",149954,"20","n/a","n/a"
1035418,"A_32_P539109",79342,"BPIFB6","BPI fold containing family B, member 6",128859,"20","n/a","n/a"
1035419,"CUST_1912_PI416261804",79342,"BPIFB6","BPI fold containing family B, member 6",128859,"20","n/a","n/a"
1032921,"A_32_P419502",90181,"BPIFC","BPI fold containing family C",254240,"22","n/a","n/a"
1032922,"CUST_15419_PI416261804",90181,"BPIFC","BPI fold containing family C",254240,"22","n/a","n/a"
1058761,"A_23_P42935",669,"BRAF","v-raf murine sarcoma viral oncogene homolog B1",673,"7","n/a","n/a"
1058762,"CUST_16222_PI416261804",669,"BRAF","v-raf murine sarcoma viral oncogene homolog B1",673,"7","n/a","n/a"
1058728,"A_23_P137139",691,"BTK","Bruton agammaglobulinemia tyrosine kinase",695,"X","n/a","n/a"
1049590,"A_23_P121215",8470,"CAMK1","calcium/calmodulin-dependent protein kinase I",8536,"3","n/a","n/a"
1049591,"CUST_9918_PI416261804",8470,"CAMK1","calcium/calmodulin-dependent protein kinase I",8536,"3","n/a","n/a"
1040834,"A_23_P124252",36396,"CAMK1D","calcium/calmodulin-dependent protein kinase ID",57118,"10","n/a","n/a"
1023509,"A_32_P208120",36396,"CAMK1D","calcium/calmodulin-dependent protein kinase ID",57118,"10","n/a","n/a"
1040835,"CUST_14421_PI416261804",36396,"CAMK1D","calcium/calmodulin-dependent protein kinase ID",57118,"10","n/a","n/a"
1040836,"CUST_14422_PI416261804",36396,"CAMK1D","calcium/calmodulin-dependent protein kinase ID",57118,"10","n/a","n/a"
1040774,"A_23_P364428",36448,"CAMK1G","calcium/calmodulin-dependent protein kinase IG",57172,"1","n/a","n/a"
1040773,"A_23_P97402",36448,"CAMK1G","calcium/calmodulin-dependent protein kinase IG",57172,"1","n/a","n/a"
1029478,"A_24_P380311",811,"CAMK2A","calcium/calmodulin-dependent protein kinase II alpha",815,"5","n/a","n/a"
1029479,"CUST_141_PI416408490",811,"CAMK2A","calcium/calmodulin-dependent protein kinase II alpha",815,"5","n/a","n/a"
1029480,"CUST_14257_PI416261804",811,"CAMK2A","calcium/calmodulin-dependent protein kinase II alpha",815,"5","n/a","n/a"
1058595,"A_23_P42882",812,"CAMK2B","calcium/calmodulin-dependent protein kinase II beta",816,"7","n/a","n/a"
1058596,"CUST_10802_PI416261804",812,"CAMK2B","calcium/calmodulin-dependent protein kinase II beta",816,"7","n/a","n/a"
1058597,"CUST_10805_PI416261804",812,"CAMK2B","calcium/calmodulin-dependent protein kinase II beta",816,"7","n/a","n/a"
1025554,"CUST_10807_PI416261804",812,"CAMK2B","calcium/calmodulin-dependent protein kinase II beta",816,"7","n/a","n/a"
1025574,"CUST_10809_PI416261804",812,"CAMK2B","calcium/calmodulin-dependent protein kinase II beta",816,"7","n/a","n/a"
1017819,"A_23_P144458",813,"CAMK2D","calcium/calmodulin-dependent protein kinase II delta",817,"4","n/a","n/a"
1027101,"A_24_P114739",813,"CAMK2D","calcium/calmodulin-dependent protein kinase II delta",817,"4","n/a","n/a"
1027100,"A_32_P168660",813,"CAMK2D","calcium/calmodulin-dependent protein kinase II delta",817,"4","n/a","n/a"
1013642,"A_32_P47988",813,"CAMK2D","calcium/calmodulin-dependent protein kinase II delta",817,"4","n/a","n/a"
1058594,"A_23_P46903",814,"CAMK2G","calcium/calmodulin-dependent protein kinase II gamma",818,"10","n/a","n/a"
1058593,"A_24_P141332",814,"CAMK2G","calcium/calmodulin-dependent protein kinase II gamma",818,"10","n/a","n/a"
1058598,"A_23_P250347",810,"CAMK4","calcium/calmodulin-dependent protein kinase IV",814,"5","n/a","n/a"
1058599,"CUST_12245_PI416261804",810,"CAMK4","calcium/calmodulin-dependent protein kinase IV",814,"5","n/a","n/a"
1037732,"A_23_P207648",58464,"CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha",84254,"17","n/a","n/a"
1037731,"A_23_P431933",58464,"CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha",84254,"17","n/a","n/a"
1037733,"A_24_P292929",58464,"CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha",84254,"17","n/a","n/a"
1026935,"CUST_8023_PI416261804",58464,"CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha",84254,"17","n/a","n/a"
1029550,"A_23_P358957",10498,"CAMKK2","calcium/calmodulin-dependent protein kinase kinase 2, beta",10645,"12","n/a","n/a"
1029552,"A_23_P408830",10498,"CAMKK2","calcium/calmodulin-dependent protein kinase kinase 2, beta",10645,"12","n/a","n/a"
1029553,"A_24_P273378",10498,"CAMKK2","calcium/calmodulin-dependent protein kinase kinase 2, beta",10645,"12","n/a","n/a"
1029551,"A_32_P210390",10498,"CAMKK2","calcium/calmodulin-dependent protein kinase kinase 2, beta",10645,"12","n/a","n/a"
1039447,"A_23_P29680",54852,"CAMKV","CaM kinase-like vesicle-associated",79012,"3","n/a","n/a"
1039448,"CUST_16037_PI416261804",54852,"CAMKV","CaM kinase-like vesicle-associated",79012,"3","n/a","n/a"
1045672,"A_24_P370372",23221,"CBX6","chromobox homolog 6",23466,"22","n/a","n/a"
1045673,"CUST_1945_PI416261804",23221,"CBX6","chromobox homolog 6",23466,"22","n/a","n/a"
1034577,"A_23_P431284",80653,"CCDC155","coiled-coil domain containing 155",147872,"19","n/a","n/a"
1034578,"CUST_9356_PI416261804",80653,"CCDC155","coiled-coil domain containing 155",147872,"19","n/a","n/a"
1044261,"A_23_P338479",28861,"CD274","CD274 molecule",29126,"9","n/a","n/a"
1044262,"CUST_16488_PI416261804",28861,"CD274","CD274 molecule",29126,"9","n/a","n/a"
1058458,"A_23_P109988",937,"CD86","CD86 molecule",942,"3","n/a","n/a"
1058457,"A_24_P131589",937,"CD86","CD86 molecule",942,"3","n/a","n/a"
1058459,"CUST_14729_PI416261804",937,"CD86","CD86 molecule",942,"3","n/a","n/a"
1018971,"A_23_P138507",978,"CDK1","cyclin-dependent kinase 1",983,"10","n/a","n/a"
1013241,"A_32_P87849",978,"CDK1","cyclin-dependent kinase 1",983,"10","n/a","n/a"
1018282,"A_23_P152245",8492,"CDK10","cyclin-dependent kinase 10",8558,"16","n/a","n/a"
1013167,"A_24_P65199",8492,"CDK10","cyclin-dependent kinase 10",8558,"16","n/a","n/a"
1013338,"CUST_8048_PI416261804",8492,"CDK10","cyclin-dependent kinase 10",8558,"16","n/a","n/a"
1016318,"CUST_2527_PI416261804",979,"CDK11B","cyclin-dependent kinase 11B",984,"1","n/a","n/a"
1020360,"A_23_P159119",31235,"CDK12","cyclin-dependent kinase 12",51755,"17","n/a","n/a"
1011220,"A_24_P198820",31235,"CDK12","cyclin-dependent kinase 12",51755,"17","n/a","n/a"
1049507,"A_23_P215296",8552,"CDK13","cyclin-dependent kinase 13",8621,"7","n/a","n/a"
1049508,"A_24_P178493",8552,"CDK13","cyclin-dependent kinase 13",8621,"7","n/a","n/a"
1053155,"A_23_P145889",5186,"CDK14","cyclin-dependent kinase 14",5218,"7","n/a","n/a"
1053154,"A_24_P29733",5186,"CDK14","cyclin-dependent kinase 14",5218,"7","n/a","n/a"
1039598,"A_23_P154050",41585,"CDK15","cyclin-dependent kinase 15",65061,"2","n/a","n/a"
1039599,"CUST_7665_PI416261804",41585,"CDK15","cyclin-dependent kinase 15",65061,"2","n/a","n/a"
1030498,"A_24_P233663",5095,"CDK16","cyclin-dependent kinase 16",5127,"X","n/a","n/a"
1030499,"CUST_10258_PI416261804",5095,"CDK16","cyclin-dependent kinase 16",5127,"X","n/a","n/a"
1053298,"A_23_P33376",5096,"CDK17","cyclin-dependent kinase 17",5128,"12","n/a","n/a"
1053299,"CUST_7955_PI416261804",5096,"CDK17","cyclin-dependent kinase 17",5128,"12","n/a","n/a"
1023757,"A_23_P201863",5097,"CDK18","cyclin-dependent kinase 18",5129,"1","n/a","n/a"
1023758,"CUST_8057_PI416261804",5097,"CDK18","cyclin-dependent kinase 18",5129,"1","n/a","n/a"
1046028,"A_24_P343289",22852,"CDK19","cyclin-dependent kinase 19",23097,"6","n/a","n/a"
1063700,"A_24_P699896",22852,"CDK19","cyclin-dependent kinase 19",23097,"6","n/a","n/a"
1046029,"CUST_10208_PI416261804",22852,"CDK19","cyclin-dependent kinase 19",23097,"6","n/a","n/a"
1058373,"A_23_P98898",1012,"CDK2","cyclin-dependent kinase 2",1017,"12","n/a","n/a"
1058374,"CUST_14733_PI416261804",1012,"CDK2","cyclin-dependent kinase 2",1017,"12","n/a","n/a"
1018641,"A_23_P20752",23306,"CDK20","cyclin-dependent kinase 20",23552,"9","n/a","n/a"
1045561,"CUST_10844_PI416261804",23306,"CDK20","cyclin-dependent kinase 20",23552,"9","n/a","n/a"
1058371,"A_23_P89155",1013,"CDK3","cyclin-dependent kinase 3",1018,"17","n/a","n/a"
1058372,"CUST_10461_PI416261804",1013,"CDK3","cyclin-dependent kinase 3",1018,"17","n/a","n/a"
1058369,"A_23_P24997",1014,"CDK4","cyclin-dependent kinase 4",1019,"12","n/a","n/a"
1058367,"A_23_P8400",1015,"CDK5","cyclin-dependent kinase 5",1020,"7","n/a","n/a"
1058368,"CUST_15042_PI416261804",1015,"CDK5","cyclin-dependent kinase 5",1020,"7","n/a","n/a"
1020832,"A_23_P168651",1016,"CDK6","cyclin-dependent kinase 6",1021,"7","n/a","n/a"
1011009,"A_24_P166663",1016,"CDK6","cyclin-dependent kinase 6",1021,"7","n/a","n/a"
1058365,"A_23_P133585",1017,"CDK7","cyclin-dependent kinase 7",1022,"5","n/a","n/a"
1058366,"CUST_8151_PI416261804",1017,"CDK7","cyclin-dependent kinase 7",1022,"5","n/a","n/a"
1058363,"A_23_P139958",1018,"CDK8","cyclin-dependent kinase 8",1024,"13","n/a","n/a"
1058364,"CUST_12054_PI416261804",1018,"CDK8","cyclin-dependent kinase 8",1024,"13","n/a","n/a"
1058361,"A_23_P158083",1019,"CDK9","cyclin-dependent kinase 9",1025,"9","n/a","n/a"
1058360,"A_23_P169470",1019,"CDK9","cyclin-dependent kinase 9",1025,"9","n/a","n/a"
1058362,"A_32_P309929",1019,"CDK9","cyclin-dependent kinase 9",1025,"9","n/a","n/a"
1049274,"A_23_P99741",8737,"CDKL1","cyclin-dependent kinase-like 1 (CDC2-related kinase)",8814,"14","n/a","n/a"
1049275,"A_23_P99747",8737,"CDKL1","cyclin-dependent kinase-like 1 (CDC2-related kinase)",8814,"14","n/a","n/a"
1049098,"A_23_P259270",8890,"CDKL2","cyclin-dependent kinase-like 2 (CDC2-related kinase)",8999,"4","n/a","n/a"
1049099,"CUST_7824_PI416261804",8890,"CDKL2","cyclin-dependent kinase-like 2 (CDC2-related kinase)",8999,"4","n/a","n/a"
1018394,"A_23_P110643",30746,"CDKL3","cyclin-dependent kinase-like 3",51265,"5","n/a","n/a"
1012899,"CUST_10311_PI416261804",30746,"CDKL3","cyclin-dependent kinase-like 3",51265,"5","n/a","n/a"
1027560,"CUST_1168_PI416573500",110116,"CDKL4","cyclin-dependent kinase-like 4",344387,"2","n/a","n/a"
1027559,"CUST_1207_PI416379584",110116,"CDKL4","cyclin-dependent kinase-like 4",344387,"2","n/a","n/a"
1022379,"A_24_P282343",6752,"CDKL5","cyclin-dependent kinase-like 5",6792,"X","n/a","n/a"
1022381,"CUST_153_PI416408490",6752,"CDKL5","cyclin-dependent kinase-like 5",6792,"X","n/a","n/a"
1022380,"CUST_9466_PI416261804",6752,"CDKL5","cyclin-dependent kinase-like 5",6792,"X","n/a","n/a"
1058329,"A_23_P143242",1044,"CEBPB","CCAAT/enhancer binding protein (C/EBP), beta",1051,"20","n/a","n/a"
1058327,"A_23_P411296",1044,"CEBPB","CCAAT/enhancer binding protein (C/EBP), beta",1051,"20","n/a","n/a"
